frame.time_epoch,ip.src,ip.dst,dns.qry.name,http.host,tls.handshake.extensions_server_name
1762227671.106243000,10.157.172.144,157.240.253.41,,,2267e2de-8d33-49d7-9ea6-6c7f4788068b-netseer-ipaddr-assoc.xz.fbcdn.net
1762227671.227135000,10.157.172.144,239.255.255.250,,239.255.255.250:1900,
1762227671.602007000,10.157.172.144,157.240.16.16,,,graph.facebook.com
1762227671.657925000,10.157.172.144,157.240.16.16,,,graph.facebook.com
1762227671.714327000,10.157.172.144,10.157.172.129,2267e2de-8d33-49d7-9ea6-6c7f4788068b-netseer-ipaddr-assoc.xy.fbcdn.net,,
1762227671.767634000,10.157.172.129,10.157.172.144,2267e2de-8d33-49d7-9ea6-6c7f4788068b-netseer-ipaddr-assoc.xy.fbcdn.net,,
1762227671.777550000,10.157.172.144,10.157.172.129,2267e2de-8d33-49d7-9ea6-6c7f4788068b-netseer-ipaddr-assoc.xy.fbcdn.net.mshome.net,,
1762227671.817871000,10.157.172.129,10.157.172.144,2267e2de-8d33-49d7-9ea6-6c7f4788068b-netseer-ipaddr-assoc.xy.fbcdn.net.mshome.net,,
1762227672.053182000,10.157.172.144,10.157.172.129,z-p42-chat-e2ee-ig.facebook.com,,
1762227672.089298000,10.157.172.129,10.157.172.144,z-p42-chat-e2ee-ig.facebook.com,,
1762227682.989664000,10.157.172.144,10.157.172.129,clients1.google.com,,
1762227682.990000000,10.157.172.144,10.157.172.129,clients1.google.com,,
1762227682.990227000,10.157.172.144,10.157.172.129,clients1.google.com,,
1762227683.074335000,10.157.172.129,10.157.172.144,clients1.google.com,,
1762227683.074335000,10.157.172.129,10.157.172.144,clients1.google.com,,
1762227683.074335000,10.157.172.129,10.157.172.144,clients1.google.com,,
1762227683.137123000,,,,,clients1.google.com
1762227683.970239000,10.157.172.144,157.240.16.63,,,i.instagram.com
1762227683.971554000,10.157.172.144,10.157.172.129,i.instagram.com,,
1762227684.008443000,10.157.172.129,10.157.172.144,i.instagram.com,,
1762227684.008794000,10.157.172.144,157.240.16.63,,,i.instagram.com
1762227684.582692000,10.157.172.144,163.70.143.142,,,test-gateway.instagram.com
1762227684.658863000,10.157.172.144,10.157.172.129,edge-mqtt.facebook.com,,
1762227684.661128000,10.157.172.144,10.157.172.129,test-gateway.instagram.com,,
1762227684.720743000,10.157.172.129,10.157.172.144,edge-mqtt.facebook.com,,
1762227684.726009000,,,test-gateway.instagram.com,,
1762227684.748538000,10.157.172.144,57.144.242.144,,,edge-mqtt.facebook.com
1762227684.763638000,,,test-gateway.instagram.com,,
1762227684.763638000,10.157.172.129,10.157.172.144,test-gateway.instagram.com,,
1762227684.906364000,10.157.172.144,10.157.172.129,www.google.com,,
1762227684.943031000,10.157.172.129,10.157.172.144,www.google.com,,
1762227685.067135000,10.157.172.144,142.250.183.228,,,www.google.com
1762227685.329424000,10.157.172.144,142.250.183.228,,,www.google.com
1762227685.403223000,10.157.172.144,142.250.183.228,,,www.google.com
1762227685.664840000,10.157.172.144,142.250.183.228,,,www.google.com
1762227687.977815000,10.157.172.144,10.157.172.129,excel.officeapps.live.com,,
1762227688.018318000,10.157.172.129,10.157.172.144,excel.officeapps.live.com,,
1762227688.073183000,10.157.172.144,52.108.8.12,,,excel.officeapps.live.com
1762227688.150072000,10.157.172.144,52.108.8.12,,,excel.officeapps.live.com
1762227688.516823000,10.157.172.144,10.157.172.129,notifications-pa.googleapis.com,,
1762227688.595508000,,,notifications-pa.googleapis.com,,
1762227688.606162000,10.157.172.129,10.157.172.144,notifications-pa.googleapis.com,,
1762227688.619306000,,,notifications-pa.googleapis.com,,
1762227688.677832000,10.157.172.144,172.217.26.42,,,notifications-pa.googleapis.com
1762227689.702954000,10.157.172.144,10.157.172.129,www.googleadservices.com,,
1762227689.736458000,10.157.172.144,142.250.183.228,,,www.google.com
1762227689.761527000,,,www.googleadservices.com,,
1762227689.820854000,10.157.172.144,10.157.172.129,www.googletagmanager.com,,
1762227689.828879000,10.157.172.129,10.157.172.144,www.googleadservices.com,,
1762227689.828879000,,,www.googleadservices.com,,
1762227689.884601000,10.157.172.129,10.157.172.144,www.googletagmanager.com,,
1762227689.888054000,10.157.172.144,142.251.43.2,,,www.googleadservices.com
1762227689.956743000,10.157.172.144,142.250.76.72,,,www.googletagmanager.com
1762227690.864193000,10.157.172.144,10.157.172.129,encrypted-tbn0.gstatic.com,,
1762227690.888242000,10.157.172.129,10.157.172.144,encrypted-tbn0.gstatic.com,,
1762227691.045428000,10.157.172.144,142.250.193.78,,,encrypted-tbn0.gstatic.com
1762227691.046043000,10.157.172.144,142.250.193.78,,,encrypted-tbn0.gstatic.com
1762227691.046099000,10.157.172.144,142.250.193.78,,,encrypted-tbn0.gstatic.com
1762227691.685159000,10.157.172.144,10.157.172.129,clients2.google.com,,
1762227691.690115000,10.157.172.144,10.157.172.129,clients2.google.com,,
1762227691.713568000,10.157.172.129,10.157.172.144,clients2.google.com,,
1762227691.717677000,10.157.172.129,10.157.172.144,clients2.google.com,,
1762227691.774356000,10.157.172.144,142.250.193.14,,clients2.google.com,
1762227692.380614000,10.157.172.144,142.251.43.2,,,www.googleadservices.com
1762227692.625557000,10.157.172.144,10.157.172.129,cdn.ampproject.org,,
1762227692.698406000,,,cdn.ampproject.org,,
1762227692.708196000,10.157.172.129,10.157.172.144,cdn.ampproject.org,,
1762227692.710402000,,,cdn.ampproject.org,,
1762227692.714407000,10.157.172.144,10.157.172.129,www.googleadservices.com,,
1762227692.752569000,10.157.172.129,10.157.172.144,www.googleadservices.com,,
1762227692.758499000,10.157.172.144,10.157.172.129,optimizationguide-pa.googleapis.com,,
1762227692.759801000,10.157.172.144,10.157.172.129,optimizationguide-pa.googleapis.com,,
1762227692.764510000,10.157.172.129,10.157.172.144,optimizationguide-pa.googleapis.com,,
1762227692.793950000,10.157.172.144,142.251.220.65,,,cdn.ampproject.org
1762227692.796259000,10.157.172.129,10.157.172.144,optimizationguide-pa.googleapis.com,,
1762227692.808520000,10.157.172.144,142.251.220.65,,,cdn.ampproject.org
1762227692.874620000,10.157.172.144,142.251.43.2,,,www.googleadservices.com
1762227692.875460000,10.157.172.144,142.251.222.74,,,optimizationguide-pa.googleapis.com
